=== LOG LAPORAN GAGAL AKSES CRAWLING ===
Format: [KATEGORI] | Media | Alasan Detail | URL
[UNKNOWN_ERROR] | Cakrawala.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://cakrawala.co/sitemap.xml
[UNKNOWN_ERROR] | Bidik Nasional | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bidiknasional.com/feed/
[UNKNOWN_ERROR] | buanapagi.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://buanapagi.com/feed/
[UNKNOWN_ERROR] | Bukamatanews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bukamatanews.id/feed
[UNKNOWN_ERROR] | ceriatv.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://ceriatv.co.id/feed/
[UNKNOWN_ERROR] | bumntrack.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bumntrack.co.id/feed/
[UNKNOWN_ERROR] | Cirebonbagus.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://cirebonbagus.id/sitemap.xml
[UNKNOWN_ERROR] | busam.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://busam.id/feed/
[UNKNOWN_ERROR] | DAAI TV | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://daaitv.co.id/DAAI-WP/feed/
[UNKNOWN_ERROR] | CentralNews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://centralnews.id/feed/
[UNKNOWN_ERROR] | ciremaitoday.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://ciremaitoday.com/feed/
[UNKNOWN_ERROR] | datakepri.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://datakepri.com/feed/
[UNKNOWN_ERROR] | Radio City Guide | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://cityguide911fm.com/feed/
[HTTP_403] | dialeksis.com | Akses ditolak oleh server asal (Mungkin IP proxy kita di-blacklist atau direktori dikunci) | http://dialeksis.com/rss/
[UNKNOWN_ERROR] | Dailypost.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://dailypost.id/feed/
[UNKNOWN_ERROR] | deduktif.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://deduktif.id/sitemap.xml
[UNKNOWN_ERROR] | daulat.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://daulat.co/sitemap.xml
[UNKNOWN_ERROR] | deltakepri.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://deltakepri.co.id/feed/
[UNKNOWN_ERROR] | bidiknasional.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bidiknasional.com/feed/
[UNKNOWN_ERROR] | curupekspress.disway.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://curupekspress.disway.id/rss/entertainment
[UNKNOWN_ERROR] | betv.disway.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://betv.disway.id/rss/daerah
[UNKNOWN_ERROR] | detail.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://detail.id/feed/
[UNKNOWN_ERROR] | Derap Kalimantan | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://derapkalimantan.com/feed/
[UNKNOWN_ERROR] | diksimerdeka.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://diksimerdeka.com/feed/
[UNKNOWN_ERROR] | detailnews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://detailnews.id/feed/
[UNKNOWN_ERROR] | dialogindonesia.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://dialogindonesia.com/feed/
[UNKNOWN_ERROR] | detikglobalnews.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://detikglobalnews.com/feed/
[UNKNOWN_ERROR] | Detotabuan.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://detotabuan.com/feed/
[UNKNOWN_ERROR] | DAAITV Medan | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://daaitv.co.id/DAAI-WP/feed/
[UNKNOWN_ERROR] | Radio Elshinta | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://elshinta.com/google_feeds.xml
[UNKNOWN_ERROR] | DetikManado.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://detikmanado.com/feed/
[UNKNOWN_ERROR] | Dhoho Tv | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://dhohotv.com/feed/
[UNKNOWN_ERROR] | diskursusnetwork.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://diskursusnetwork.com/sitemap.xml
[UNKNOWN_ERROR] | digtara.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://digtara.com/sitemap.xml
[UNKNOWN_ERROR] | dimensinews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://dimensinews.id/feed/
[UNKNOWN_ERROR] | BETV | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://betv.disway.id/rss/daerah
[UNKNOWN_ERROR] | dinamikasultra.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://dinamikasultra.com/feed/
[UNKNOWN_ERROR] | divianews.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://divianews.com/feed/
